Casename	Study	stat_para	stat_aneu	stat_red	stat_yel	stat_wht	stat_dom	stat_bod	stat_nek	stat_part	stat_press	
uic037.1	msa.2	min	  3355.18	 47254.67	     0.00	  3355.18	140130.22	  3355.18	  6178.75	  1283.91	  1283.91	
uic037.1	msa.2	stddev	1054272.12	957830.60	     0.00	221868.99	1024113.10	1002229.84	1081458.38	329651.87	732601.64	
uic038.1	msa.2	mean	1179125.11	753414.45	     0.00	537014.44	924951.09	1233830.63	1388017.55	481465.10	673947.60	
uic038.1	msa.2	max	2979008.21	1595492.35	     0.00	1534999.80	2194726.47	2521836.81	2979008.21	2685562.85	2979008.21	
uic038.1	msa.2	min	  1749.65	  2976.02	     0.00	  2691.84	  1749.65	  2038.86	 19254.27	   179.66	   179.66	
uic038.1	msa.2	stddev	685562.48	384053.64	     0.00	291391.08	497580.90	701974.33	759307.23	312577.95	545579.39	
uic039.1	msa.2	mean	468599.30	934063.15	     0.00	400006.76	272081.19	489003.03	626672.45	440427.94	445403.76	
uic039.1	msa.2	max	3068543.34	3068543.34	     0.00	995836.56	1136086.87	2925297.32	3068543.34	1849372.56	3068543.34	
uic039.1	msa.2	min	  5581.32	  5581.32	     0.00	 14356.65	 14356.65	 15542.47	  5581.32	    66.74	    66.74	
uic039.1	msa.2	stddev	359323.08	559316.88	     0.00	201169.89	169200.87	361229.24	403939.19	266294.32	285145.27	
uic041.1	msa.2	mean	719098.42	907713.41	     0.00	     0.00	670236.41	725055.79	741900.90	320233.72	331556.57	
uic041.1	msa.2	max	1214292.73	1247435.77	     0.00	     0.00	922089.17	1203647.07	1214292.73	1247435.77	1247435.77	
uic041.1	msa.2	min	 11522.10	491710.76	     0.00	     0.00	232191.71	 56941.84	 11522.10	   316.45	   316.45	
uic041.1	msa.2	stddev	276381.43	182178.80	     0.00	     0.00	157232.60	298871.57	298782.99	174380.21	190004.61	
uic042.1	msa.2	mean	163355.22	     0.00	     0.00	169923.61	124339.23	159388.64	195305.63	196394.30	193963.80	
uic042.1	msa.2	max	316777.77	     0.00	     0.00	314669.93	179864.42	265608.36	316777.77	436912.31	436912.31	
uic042.1	msa.2	min	 13932.63	     0.00	     0.00	  2832.19	 68623.63	 59925.07	 13932.63	   129.42	   129.42	
uic042.1	msa.2	stddev	 55493.75	     0.00	     0.00	 65628.14	 25661.31	 45712.73	 64857.30	104405.34	101978.08	
uic042.2	msa.2	mean	961280.73	1150128.05	     0.00	     0.00	920150.83	985455.48	956050.29	306396.27	373898.05	
uic042.2	msa.2	max	2713624.33	2713624.33	     0.00	     0.00	1973334.87	2713624.33	2239239.27	2036000.01	2713624.33	
uic042.2	msa.2	min	  4152.30	 35221.01	     0.00	     0.00	  4152.30	 14950.49	 17152.30	   232.35	   232.35	
uic042.2	msa.2	stddev	616942.61	638000.87	     0.00	     0.00	421000.47	677052.23	654721.76	229830.03	355328.88	
uic043.1	msa.2	mean	740363.70	744824.96	     0.00	     0.00	556140.70	839557.61	751357.37	598686.05	602040.35	
uic043.1	msa.2	max	1478700.29	1577379.55	     0.00	     0.00	1216261.74	1400341.77	1478700.29	1655319.64	1655319.64	
uic043.1	msa.2	min	 15903.81	 15903.81	     0.00	     0.00	 15903.81	 21972.54	 84139.15	   154.77	   154.77	
uic043.1	msa.2	stddev	354519.45	359299.21	     0.00	     0.00	336799.10	315511.52	363023.81	321184.87	322733.60	
uic043.2	msa.2	mean	779301.60	456624.51	     0.00	     0.00	521819.87	829940.99	969424.68	560192.31	579120.25	
uic043.2	msa.2	max	2455311.46	1431221.42	     0.00	     0.00	1211892.01	2070432.76	2455311.46	1681006.28	2455311.46	
uic043.2	msa.2	min	 14305.81	 14305.81	     0.00	     0.00	 15549.10	 14305.81	 69037.01	   219.78	   219.78	
uic043.2	msa.2	stddev	434827.73	329328.08	     0.00	     0.00	272430.68	409291.60	493896.36	319266.39	336523.51	
uic044.1	msa.2	mean	884677.48	936842.45	     0.00	     0.00	835727.75	881957.74	939990.34	419743.97	444353.59	
uic044.1	msa.2	max	1904091.69	1904091.69	     0.00	     0.00	1488355.75	1904091.69	1826743.99	1434590.45	1904091.69	
uic044.1	msa.2	min	 12773.68	 12773.68	     0.00	     0.00	431619.44	 37499.74	 12773.68	    42.66	    42.66	
uic044.1	msa.2	stddev	414112.15	507378.17	     0.00	     0.00	238748.14	446873.97	481542.83	237946.79	271173.62	
uic045.1	msa.2	mean	857844.13	1386167.70	     0.00	193920.35	181429.14	1023090.96	1156975.62	405225.96	494065.86	
uic045.1	msa.2	max	3700061.45	3700061.45	     0.00	772760.97	575940.85	2892360.65	3700061.45	2726064.32	3700061.45	
uic045.1	msa.2	min	   970.74	  5443.40	     0.00	   970.74	   970.74	  1914.79	 27018.64	    26.12	    26.12	
uic045.1	msa.2	stddev	666563.33	664913.86	     0.00	125155.50	105539.45	583585.25	719078.67	239825.41	407128.34	
uic045.2	msa.2	mean	1073912.96	1214965.79	     0.00	     0.00	1034129.59	1081017.65	1100679.98	393075.75	463015.83	
uic045.2	msa.2	max	3715915.05	3715915.05	     0.00	     0.00	3715915.05	3600227.15	2085314.98	1997603.14	3715915.05	
uic045.2	msa.2	min	 26464.45	 38190.09	     0.00	     0.00	 38190.09	107756.20	 26464.45	   504.65	   504.65	
uic045.2	msa.2	stddev	589236.70	803420.82	     0.00	     0.00	787581.03	501167.95	502367.51	246690.55	364688.27	
uic047.1	msa.2	mean	1158260.07	1127542.50	     0.00	440096.48	1255060.40	970397.01	1467819.07	455911.67	590028.49	
uic047.1	msa.2	max	4985175.50	2894160.72	     0.00	724040.33	2919072.12	3061094.21	4985175.50	4745981.26	4985175.50	
uic047.1	msa.2	min	   903.27	   974.24	     0.00	219839.41	 71124.18	   903.27	 48533.99	    48.52	    48.52	
uic047.1	msa.2	stddev	667802.89	575301.19	     0.00	103231.75	594948.61	534534.59	845287.56	284219.78	476154.54	
uic048.1	msa.2	mean	938442.38	947296.93	     0.00	     0.00	658413.28	1059278.47	996607.54	486444.24	505095.83	
